id,keywords,response_en,response_hi
C001,fever|hot|temperature|bukhar,Check rectal temperature (normal: 101-102.5°F). Give shade and clean water. If fever >103°F isolate and call vet. For multiple animals with fever — suspect outbreak,बुखार के लिए: तापमान जांचें (सामान्य 101-102.5°F)। छाया और साफ पानी दें। 103°F से ऊपर हो तो अलग रखें और पशु चिकित्सक बुलाएं
C002,milk|udder|mastitis|than,Udder issues may be Mastitis. Strip test: squeeze milk on dark surface. If clots/blood — Mastitis confirmed. Wash with warm water + Povidone Iodine. Discard milk. Call vet for antibiotics,थन की समस्या मास्टाइटिस हो सकती है। दूध की जांच करें — अगर गांठ या खून तो मास्टाइटिस है। गर्म पानी से धोएं। दूध फेंकें। पशु चिकित्सक बुलाएं
C003,skin|nodules|lumps|lumpy|ganth,Skin lumps = likely Lumpy Skin Disease (LSD). Isolate immediately. Control mosquitoes and ticks (use Deltamethrin spray). Keep shelter clean and dry. Call vet for supportive treatment. Vaccinate rest of herd,त्वचा पर गांठ = लम्पी स्किन डिजीज हो सकती है। तुरंत अलग करें। मच्छर-किलनी नियंत्रण करें। साफ सूखा शेड। पशु चिकित्सक बुलाएं
C004,mouth|drooling|blisters|fmd|muh,Mouth blisters + drooling = FMD (Foot and Mouth Disease). Give soft feed only. Wash mouth 3x daily with warm salt water. Apply Borax+Glycerin paste. Isolate — highly contagious! Call vet,मुंह के छाले + लार = एफएमडी। नरम चारा दें। दिन में 3 बार गर्म नमक पानी से मुंह धोएं। बोरेक्स+ग्लिसरीन पेस्ट लगाएं। अलग रखें — बहुत संक्रामक!
C005,birth|calving|pregnant|labor|prasav,Normal labor: water bag breaks → calf within 2-3 hours. If >3 hours with no progress CALL VET. Keep area clean and dry. Have iodine and threads ready for cord. Don't pull the calf unless vet guides,प्रसव: पानी की थैली फटने के बाद 2-3 घंटे में बच्चा आना चाहिए। 3 घंटे से ज्यादा हो तो पशु चिकित्सक बुलाएं। जगह साफ रखें
C006,diarrhea|loose|dast|julab,Diarrhea: Give ORS (6 tsp sugar + 1/2 tsp salt in 1L water). Keep animal hydrated. If bloody — urgent vet call. Isolate from herd. Don't give milk to calves from sick cow,दस्त: ओआरएस दें (6 चम्मच चीनी + आधा चम्मच नमक 1 लीटर पानी में)। पानी पिलाते रहें। खून हो तो तुरंत पशु चिकित्सक बुलाएं। अलग रखें
C007,rabies|dog bite|aggressive|pagal,RABIES = 100% FATAL once symptoms appear. DO NOT touch aggressive animals. Annual vaccination is the ONLY prevention. If bitten — wash wound 15 min with soap water → go to hospital immediately,रेबीज = 100% घातक। आक्रामक कुत्ते को न छुएं। वार्षिक टीका ही बचाव है। काटने पर 15 मिनट साबुन पानी से धोएं → तुरंत अस्पताल जाएं
C008,heat|summer|panting|garmi,Heat stress management: Shade is essential. Give water every 2 hours. Use fans or water spray for cooling. For buffalo: mud wallowing or water bathing. Feed during cooler hours. Add 50g mineral mix daily,गर्मी का तनाव: छाया जरूरी। हर 2 घंटे पानी दें। पंखा या पानी का छिड़काव करें। भैंस: कीचड़ में बैठने दें। ठंडे समय चारा दें
C009,vaccine|vaccination|tika|teeka,Vaccination Schedule — Cow/Buffalo: FMD every 6 months + HS/BQ before monsoon + Brucellosis at 4-8 months. Goat: PPR yearly + ET every 6 months. Chicken: Ranikhet Day 7 and 21 then every 4 months,टीकाकरण: गाय/भैंस — FMD हर 6 महीने + HS/BQ बारिश से पहले। बकरी — PPR सालाना। मुर्गी — रानीखेत 7 और 21 दिन पर
C010,feed|food|diet|nutrition|chara|khana,Daily feed for dairy cow: Green fodder 25-30 kg + Dry fodder 5-6 kg + Concentrate 1 kg per 2.5L milk + Mineral mix 30-50g + Clean water 50-60L. Feed 2x daily at regular times,दूध देने वाली गाय का चारा: हरा चारा 25-30 किलो + सूखा चारा 5-6 किलो + दाना 1 किलो प्रति 2.5 लीटर दूध + खनिज मिश्रण 30-50 ग्राम
C011,breed|mating|heat signs|garma,Heat signs: Restlessness + mounting others + mucus discharge + swollen vulva + reduced milk. Do AI within 12-18 hours of first heat sign. Pregnancy check at 60-90 days. Gestation: Cow=280 days Buffalo=310 days,गरमाहट के लक्षण: बेचैनी + दूसरों पर चढ़ना + श्लेष्मा स्राव। 12-18 घंटे में एआई करवाएं। गर्भावस्था: गाय=280 दिन भैंस=310 दिन
C012,worm|deworming|kida|pet ke kide,Deworm every 3-4 months. Signs: dull coat + pot belly + weight loss + diarrhea. Use Albendazole (7.5 mg/kg). Don't deworm pregnant animals in first 3 months. Deworm calves at 2 weeks age first,कृमि निवारण: हर 3-4 महीने। लक्षण: रूखा बदन + पेट बड़ा + वजन कम। Albendazole दें। गर्भवती पशु को पहले 3 महीने न दें
C013,tick|kilni|gochiid,Tick control: Manual removal with tweezers. Spray Deltamethrin or Amitraz (1ml/L water). Treat shelter walls and floor. Repeat every 15 days. Ticks spread Babesiosis — watch for fever and pale gums,किलनी नियंत्रण: हाथ से निकालें। Deltamethrin या Amitraz (1ml प्रति लीटर पानी) स्प्रे करें। शेड की दीवारें भी ट्रीट करें। हर 15 दिन दोहराएं
C014,bloat|pet phulna|gas,BLOAT is an EMERGENCY if severe. Walk the animal continuously. Stomach tube if available. Turpentine oil 30ml + Linseed oil 300ml (oral). Position animal with front higher. Stop green legume feeding,पेट फूलना गंभीर हो तो आपातकाल है। पशु को लगातार चलाएं। तारपीन तेल 30ml + अलसी तेल 300ml मुंह से दें। सामने ऊंचा करके खड़ा करें
C015,limping|lame|pair|langda,Limping causes: Foot Rot or FMD or injury. Check hooves — clean with salt water and trim if overgrown. Keep on dry floor. Apply Copper Sulphate 5% solution. If mouth sores also present = FMD,लंगड़ापन: खुर सड़न या FMD या चोट। खुर जांचें — नमक पानी से साफ करें। सूखी जमीन पर रखें। तांबा सल्फेट 5% घोल लगाएं
C016,eye|ankh|red eye,Red eyes: Could be Pink Eye (infectious). Wash with clean water. Apply Terramycin eye ointment 3x daily. Keep away from dust and direct sun. If both eyes affected — may be systemic disease,लाल आंखें: पिंक आई हो सकती है। साफ पानी से धोएं। Terramycin मलहम दिन में 3 बार। धूल और धूप से बचाएं
C017,cough|khansi|khokla,Cough: Keep in warm dry shelter. Avoid dusty feed. Steam inhalation with eucalyptus (15 min). If fever + nasal discharge = likely Pneumonia. Needs antibiotic — call vet,खांसी: गरम सूखे शेड में रखें। धूल वाला चारा न दें। नीलगिरी भाप दें (15 मिनट)। बुखार + नाक बहना = निमोनिया। पशु चिकित्सक बुलाएं
C018,wound|injury|chot|jakham,Wound care: Wash with Potassium Permanganate (light pink) solution. Apply Povidone Iodine. Cover with clean bandage. Fly repellent ointment to prevent maggots. Tetanus vaccine if deep wound,घाव: पोटैशियम परमैंगनेट (हल्का गुलाबी) से धोएं। Povidone Iodine लगाएं। साफ पट्टी बांधें। मक्खी दूर रखनी वाली मलहम लगाएं
C019,poison|zeher|jahar,POISON EMERGENCY: Note what was eaten and when. Give activated charcoal if available. Give lots of water. Do NOT induce vomiting in cattle. Rush to vet. Bring sample of suspected poison,ज़हर: क्या खाया कब खाया नोट करें। एक्टिवेटेड चारकोल दें। बहुत पानी दें। गाय-भैंस को उल्टी न कराएं। तुरंत पशु चिकित्सक के पास ले जाएं
C020,snakebite|snake|saanp,Snake bite: Keep animal calm. Do NOT cut or suck wound. Note snake description if possible. Anti-venom is the only treatment — rush to vet. Tourniquet above bite if on limb,सांप काटने पर: पशु को शांत रखें। घाव न काटें। सांप का रंग-आकार नोट करें। एंटी-वेनम ही इलाज है — तुरंत पशु चिकित्सक के पास ले जाएं
C021,calf|bachda|vasru,Calf care: Colostrum within 1 hour of birth (2L). Navel dip with 7% Iodine. Deworm at 2 weeks. Vaccinate: FMD at 4 months. Brucellosis at 4-8 months. Keep clean dry bedding,बछड़े की देखभाल: जन्म के 1 घंटे में कोलोस्ट्रम (2 लीटर)। नाभि में 7% आयोडीन। 2 सप्ताह में कृमि निवारण। FMD टीका 4 महीने पर
C022,swelling|sujan|suj,Swelling: Check if hot (infection) or cold (edema). Hot + painful = abscess — may need drainage. Cold swelling in legs = possible kidney or heart issue. Jaw swelling = Bottle Jaw (parasites). Call vet,सूजन: गर्म (संक्रमण) या ठंडी (एडिमा) जांचें। गर्म + दर्दनाक = फोड़ा। पैरों में ठंडी सूजन = किडनी/दिल। जबड़े की सूजन = परजीवी
C023,not eating|bhukh nahi|khat nahi,Not eating: Check for fever first. Look in mouth for sores or foreign objects. Offer favorite feed. Drenching with jaggery water (250g in 1L). If not eating >48 hours — urgent vet call,खाना नहीं खा रहा: पहले बुखार जांचें। मुंह में छाले या कुछ फंसा देखें। पसंदीदा चारा दें। गुड़ पानी (250g प्रति लीटर) पिलाएं। 48 घंटे से ज्यादा तो पशु चिकित्सक बुलाएं
C024,insurance|bima|yojana,Govt schemes: Pashu Kisan Credit Card (up to ₹3L). Livestock Insurance (DCCB/NABARD). Rashtriya Gokul Mission for breed improvement. Contact District Animal Husbandry office for details,सरकारी योजनाएं: पशु किसान क्रेडिट कार्ड (₹3 लाख तक)। पशुधन बीमा। राष्ट्रीय गोकुल मिशन। जिला पशुपालन कार्यालय से संपर्क करें
C025,thank|thanks|dhanyawad|shukriya,You're welcome! 🌿 I'm always here to help your animals stay healthy. Remember: Early detection saves lives and money. Don't hesitate to ask anything!,आपका स्वागत है! 🌿 मैं हमेशा आपके पशुओं की मदद के लिए हूं। याद रखें: जल्दी पता लगाना जान और पैसा बचाता है!
C026,hello|hi|namaste|namaskar,Namaste! 🌿 I'm Pashu Doctor AI. Tell me what's wrong with your animal — describe the symptoms and I'll help diagnose and suggest treatment. You can also use 📷 Scan Animal feature,नमस्ते! 🌿 मैं पशु डॉक्टर AI हूं। अपने पशु की तकलीफ बताएं — लक्षण बताएं और मैं रोग पहचानकर इलाज बताऊंगा। 📷 स्कैन भी कर सकते हैं
C027,emergency|urgent|jaldi|turant,EMERGENCY? Call Govt Animal Helpline 1962 immediately. While waiting: Keep animal calm. Don't give any oral medicine if choking. Note ALL symptoms and time started,आपातकाल? तुरंत सरकारी पशु हेल्पलाइन 1962 पर कॉल करें। इंतजार में: पशु को शांत रखें। सभी लक्षण और समय नोट करें
C028,goat|bakri|sheli,Goat health tips: Deworm every 3 months. PPR vaccine yearly. Provide mineral lick blocks. Clean water twice daily. Shelter must be well-ventilated and dry. Watch for PPR signs (fever+nasal discharge+diarrhea),बकरी स्वास्थ्य: हर 3 महीने कृमि निवारण। PPR टीका सालाना। खनिज ब्लॉक दें। दिन में 2 बार साफ पानी। शेड हवादार और सूखा रखें
C029,chicken|murgi|kombdi,Poultry guide: Ranikhet vaccine Day 7+21 then every 4 months. Clean water changed 2x daily. Proper ventilation. Deep litter changed weekly. Watch for sudden death or green diarrhea (Newcastle!),मुर्गी: रानीखेत टीका 7+21 दिन फिर हर 4 महीने। पानी दिन में 2 बार बदलें। सही हवा। अचानक मौत या हरा दस्त = रानीखेत!
C030,pig|suar|dukar,Pig health: African Swine Fever has NO treatment — biosecurity is key. Vaccinate for CSF. Deworm regularly. Watch for red/purple skin patches (ASF!) — report immediately,सुअर: अफ्रीकी स्वाइन बुखार का कोई इलाज नहीं — जैव सुरक्षा जरूरी। CSF टीका लगवाएं। लाल/बैंगनी त्वचा दिखे तो तुरंत रिपोर्ट करें
